Vejnavn, Købesum, Dato, Type, kr/m², Rum, Postnr, Boligtype, m², Bygget, %
Søndervangs Alle 5, 2.850.000, 10-09-2014, Alm. Salg, 21.111, 7, 8270, Villa, 135, 1923, -2 %
Hvedevangen 9, 1.900.000, 10-09-2014, Alm. Salg, 13.571, 6, 8200, Villa, 140, 1949
Møllegangen 6, 1.197.225, 09-09-2014, Fam. Salg, 8.738, 4, 8240, Villa, 137, 1958
Rosendalvej 1, 2.500.000, 09-09-2014, Alm. Salg, 12.315, 7, 8260, Villa, 203, 1972, -9 %
Klokkerfaldet 107, 2.900.000, 09-09-2014, Alm. Salg, 20.422, 4, 8210, Villa, 142, 1969, -3 %
Højkolvej 1, 3.250.000, 08-09-2014, Alm. Salg, 19.117, 7, 8210, Villa, 170, 1929, 2 %
Avnbølvej 2, 3.250.000, 08-09-2014, Alm. Salg, 21.959, 4, 8240, Villa, 148, 1954
Klokkerfaldet 75, 3.550.000, 08-09-2014, Alm. Salg, 19.505, 5, 8210, Villa, 182, 1967, -4 %
Hellerupvej 12, 6.500.000, 08-09-2014, Alm. Salg, 32.500, 9, 8000, Villa, 200, 1935, -6 %
Havtornvej 16, 2.915.000, 08-09-2014, Alm. Salg, 31.010, 4, 8200, Villa, 94, 1972, -3 %
Elmsager 16, 3.065.000, 07-09-2014, Alm. Salg, 21.892, 5, 8240, Villa, 140, 1970, -4 %
Vejlby Ringvej 54, 2.700.000, 07-09-2014, Alm. Salg, 14.754, 9, 8200, Villa, 183, 1948
Skolevangs Alle 2A, 3.650.000, 05-09-2014, Alm. Salg, 31.196, 4, 8240, Villa, 117, 1935, -4 %
Bredkær Vænge 8, 2.250.000, 04-09-2014, Alm. Salg, 19.230, 5, 8250, Villa, 117, 1967, -4 %
Ludvig Holbergs Vej 31, 3.225.000, 04-09-2014, Alm. Salg, 22.241, 3, 8230, Villa, 145, 1986, -5 %
Revelhøjvej 31, 3.100.000, 04-09-2014, Alm. Salg, 12.015, 5, 8200, Villa, 258, 1964, -6 %
Sydtoften 32, 2.150.000, 04-09-2014, Alm. Salg, 10.539, 6, 8260, Villa, 204, 1970, -10 %
Eugen Warmings Vej 13, 6.200.000, 04-09-2014, Alm. Salg, 48.437, 5, 8000, Villa, 128, 1923, -5 %
Årslev Markvej 21, 4.968.000, 04-09-2014, Alm. Salg, 23.106, 5, 8220, Villa, 215, 2012
Flakvej 3, 6.650.000, 03-09-2014, Alm. Salg, 35.185, 6, 8240, Villa, 189, 1986
Grøndalsvej 15, 2.400.000, 03-09-2014, Alm. Salg, 16.666, 5, 8260, Villa, 144, 1969, -14 %
Holme Parkvej 208, 2.975.000, 03-09-2014, Alm. Salg, 23.991, 4, 8270, Villa, 124, 1987, -7 %
Kystparkvej 3, 2.700.000, 03-09-2014, Alm. Salg, 30.681, 4, 8250, Villa, 88, 1960, -3 %
Stensagervej 5A, 480.000, 03-09-2014, Alm. Salg, 3.809, 4, 8260, Villa, 126, 2014, -80 %
Ternevej 18, 4.400.000, 02-09-2014, Alm. Salg, 24.719, 9, 8240, Villa, 178, 1973, -4 %
Bredkær Grønnevej 12, 2.865.000, 01-09-2014, Alm. Salg, 21.066, 5, 8250, Villa, 136, 1965, -4 %
Fuglesangs Alle 11, 3.148.000, 01-09-2014, Alm. Salg, 24.593, 6, 8210, Villa, 128, 1926, 0 %
Lyngsiesvej 15, 2.195.000, 01-09-2014, Alm. Salg, 23.602, 4, 8230, Villa, 93, 1957, 0 %
Rolfsgade 1, 3.040.000, 01-09-2014, Alm. Salg, 23.384, 6, 8260, Villa, 130, 1926, -10 %
Teglbakken 1, 3.850.000, 01-09-2014, Alm. Salg, 22.126, 6, 8270, Villa, 174, 1972, -4 %
Nyholmsvej 28, 5.750.000, 01-09-2014, Alm. Salg, 31.767, 7, 8240, Villa, 181, 1955, -1 %
Kastaniebakken 9, 4.225.000, 01-09-2014, Alm. Salg, 38.063, 5, 8240, Villa, 111, 1935, -2 %
Porskær 2, 2.700.000, 30-08-2014, Alm. Salg, 17.088, 5, 8220, Villa, 158, 2008
Holmstrupgårdvej 164, 2.175.000, 29-08-2014, Alm. Salg, 20.518, 4, 8210, Villa, 106, 1985, -5 %
Skovdalsvej 20, 3.675.000, 29-08-2014, Alm. Salg, 27.222, 4, 8260, Villa, 135, 1980, -5 %
Kærtoften 12, 2.525.000, 29-08-2014, Alm. Salg, 30.059, 5, 8210, Villa, 84, 1883, -5 %
Elyriavej 14, 1.924.000, 28-08-2014, Fam. Salg, 17.333, 3, 8240, Villa, 111, 1981
Julivej 18, 2.200.000, 28-08-2014, Alm. Salg, 15.384, 4, 8210, Villa, 143, 1969, -2 %
Søsterhøjvej 54, 3.395.000, 28-08-2014, Alm. Salg, 21.903, 5, 8270, Villa, 155, 1980, -6 %
Holme Byvej 18A, 3.940.000, 28-08-2014, Alm. Salg, 24.472, 5, 8270, Villa, 161, 2014, -1 %
Fenrisvej 19, 5.600.000, 27-08-2014, Alm. Salg, 22.310, 8, 8230, Villa, 251, 1927, -7 %
Elmevej 7, 4.675.000, 27-08-2014, Alm. Salg, 32.465, 4, 8240, Villa, 144, 1961, -4 %
Holmetoften 64, 3.152.005, 26-08-2014, Alm. Salg, 16.946, 6, 8270, Villa, 186, 1975, -3 %
C.A.Thyregods Vej 8, 3.415.000, 25-08-2014, Alm. Salg, 31.620, 4, 8230, Villa, 108, 1954, -2 %
Hestehavevej 7, 4.200.000, 22-08-2014, Alm. Salg, 17.500, 8, 8270, Villa, 240, 1943, -7 %
Storskovvej 82, 925.000, 22-08-2014, Alm. Salg, 9.068, 4, 8260, Villa, 102, 1910, -16 %
Holme Møllevej 123, 4.200.000, 22-08-2014, Alm. Salg, 23.595, 5, 8270, Villa, 178, 1957, -2 %
Merianvej 5B, 4.400.000, 21-08-2014, Alm. Salg, 33.082, 4, 8240, Villa, 133, 1979, -2 %
Tranebærvej 17A, 1.750.000, 21-08-2014, Alm. Salg, 23.026, 3, 8220, Villa, 76, 1937, -12 %
Guldbjergvej 6, 1.995.000, 21-08-2014, Alm. Salg, 21.223, 4, 8270, Villa, 94, 1962
Rugbjergvej 122, 3.175.000, 20-08-2014, Alm. Salg, 17.541, 5, 8260, Villa, 181, 1970, -5 %
Orionsvej 14, 4.875.000, 20-08-2014, Alm. Salg, 25.390, 6, 8270, Villa, 192, 1954, -2 %
Uppsalagade 3, 2.400.000, 20-08-2014, Alm. Salg, 21.428, 5, 8200, Villa, 112, 1955, -4 %
Henrik Hertz Vej 48, 3.648.000, 20-08-2014, Alm. Salg, 24.648, 6, 8230, Villa, 148, 1954, -6 %
Hedevej 21, 2.675.000, 20-08-2014, Alm. Salg, 18.971, 4, 8240, Villa, 141, 1962, -3 %
St.Blichers Vej 24, 2.850.000, 20-08-2014, Alm. Salg, 21.428, 6, 8230, Villa, 133, 1933, -5 %
St.Blichers Vej 43, 3.550.000, 20-08-2014, Alm. Salg, 40.804, 3, 8230, Villa, 87, 1930, -1 %
Solsikkevej 17, 2.935.000, 19-08-2014, Alm. Salg, 20.241, 5, 8240, Villa, 145, 1956, -2 %
Skibbyvej 21, 3.650.000, 19-08-2014, Alm. Salg, 21.470, 5, 8220, Villa, 170, 1900
Birketinget 8, 6.826.526, 19-08-2014, Alm. Salg, 36.900, 8, 8000, Villa, 185, 1928
Rosenvangs Alle 109, 3.025.000, 19-08-2014, Alm. Salg, 30.250, 4, 8270, Villa, 100, 1961, -2 %
Hejrebakken 32, 2.995.000, 18-08-2014, Alm. Salg, 23.398, 5, 8220, Villa, 128, 1978, 0 %
Silkeborgvej 758, 1.900.000, 18-08-2014, Alm. Salg, 11.875, 9, 8220, Villa, 160, 1903
Sandbjergvej 1, 3.450.000, 18-08-2014, Alm. Salg, 29.237, 4, 8220, Villa, 118, 2006, -5 %
Sophus Bauditz Vej 30, 3.798.000, 18-08-2014, Alm. Salg, 30.384, 3, 8230, Villa, 125, 1954, 0 %
Havtornvej 11, 3.450.000, 17-08-2014, Alm. Salg, 20.294, 7, 8200, Villa, 170, 1965, -4 %
Runestenen 13, 2.450.000, 15-08-2014, Alm. Salg, 13.461, 6, 8210, Villa, 182, 1972, -6 %
Regnersgade 5, 4.800.000, 15-08-2014, Alm. Salg, 38.095, 5, 8260, Villa, 126, 1950, -2 %
Merianvej 23, 4.300.000, 15-08-2014, Alm. Salg, 26.219, 6, 8240, Villa, 164, 1976
J.P.Larsens Vej 48, 2.475.000, 15-08-2014, Alm. Salg, 20.454, 4, 8220, Villa, 121, 1959, -1 %
Klokkerbakken 36, 3.600.000, 14-08-2014, Alm. Salg, 18.000, 7, 8210, Villa, 200, 1967, -5 %
Strandbyvej 14, 3.200.000, 14-08-2014, Alm. Salg, 24.242, 4, 8240, Villa, 132, 1969, -8 %
Februarvej 36, 2.544.000, 14-08-2014, Alm. Salg, 16.412, 5, 8210, Villa, 155, 1969, -6 %
Tværmarksvej 41, 2.025.000, 14-08-2014, Alm. Salg, 15.697, 4, 8240, Villa, 129, 1977, -3 %
Enemærket 60, 3.250.000, 13-08-2014, Alm. Salg, 24.436, 5, 8240, Villa, 133, 1971, -1 %
Holmevangen 23, 4.235.000, 13-08-2014, Alm. Salg, 29.823, 6, 8270, Villa, 142, 1960, -1 %
Østrevej 37, 1.998.000, 13-08-2014, Alm. Salg, 20.181, 4, 8210, Villa, 99, 1954, 0 %
Onsholtgårdsvej 36, 4.450.000, 13-08-2014, Alm. Salg, 20.697, 6, 8260, Villa, 215, 2011
Hørhavevej 72, 2.213.800, 12-08-2014, Andet, 14.758, 8, 8270, Villa, 150, 1955
Rislundvej 13, 6.525.000, 12-08-2014, Alm. Salg, 37.500, 6, 8240, Villa, 174, 1934, -12 %
Mejlbyvej 7, 800.000, 12-08-2014, Alm. Salg, 8.000, 3, 8250, Villa, 100, 1900, -24 %
Hørvej 6, 1.900.000, 12-08-2014, Alm. Salg, 17.431, 4, 8260, Villa, 109, 1915, -5 %
Tulipanvej 28, 8.600.000, 11-08-2014, Alm. Salg, 46.994, 6, 8240, Villa, 183, 1959
Holmstrupgårdvej 192, 2.300.000, 11-08-2014, Alm. Salg, 17.692, 5, 8210, Villa, 130, 1984, -7 %
Saturnvej 4, 4.300.000, 11-08-2014, Alm. Salg, 27.922, 5, 8260, Villa, 154, 1959, -4 %
Korsagervej 11, 1.225.000, 11-08-2014, Alm. Salg, 13.611, 4, 8230, Villa, 90, 1959
Råhøj Alle 17, 6.000.000, 11-08-2014, Alm. Salg, 46.511, 5, 8270, Villa, 129, 2008, -3 %
Jyllands Alle 108, 2.210.000, 10-08-2014, Fam. Salg, 16.014, 4, 8270, Villa, 138, 1953
Laurvigsgade 28, 3.440.000, 10-08-2014, Alm. Salg, 24.225, 5, 8200, Villa, 142, 1958, -2 %
Tingvej 20, 3.775.000, 08-08-2014, Alm. Salg, 28.383, 5, 8210, Villa, 133, 1952, -3 %
Ålundsvej 22, 2.000.000, 08-08-2014, Alm. Salg, 17.857, 3, 8250, Villa, 112, 1963, -20 %
Carit Etlars Vej 26, 3.375.000, 08-08-2014, Alm. Salg, 32.142, 4, 8230, Villa, 105, 1933, -4 %
J.Skjoldborgs Vej 9, 3.450.000, 07-08-2014, Alm. Salg, 32.547, 4, 8230, Villa, 106, 1937, -5 %
Pihlkjærsvej 29, 2.050.000, 07-08-2014, Alm. Salg, 19.902, 4, 8270, Villa, 103, 1956, -4 %
Skejbytoften 35, 3.995.000, 07-08-2014, Alm. Salg, 28.133, 4, 8200, Villa, 142, 2000, 0 %
Chr.Winthers Vej 68, 3.700.000, 07-08-2014, Alm. Salg, 22.839, 6, 8230, Villa, 162, 1929, -3 %
Bøgebjergvej 8, 3.100.000, 07-08-2014, Alm. Salg, 37.804, 3, 8270, Villa, 82, 1947
Stavnsbakken 13, 3.475.000, 07-08-2014, Alm. Salg, 20.203, 5, 8240, Villa, 172, 1958, -1 %
Fredericiagade 31, 4.950.000, 07-08-2014, Alm. Salg, 36.666, 6, 8000, Villa, 135, 1890, -5 %
Johannes Ewalds Vej 66C, 2.700.000, 06-08-2014, Alm. Salg, 25.000, 4, 8230, Villa, 108, 1984, -2 %
Sydtoften 11, 2.065.000, 05-08-2014, Alm. Salg, 13.409, 5, 8260, Villa, 154, 1970, 0 %
Tromsøgade 7A, 3.800.000, 05-08-2014, Alm. Salg, 29.687, 5, 8200, Villa, 128, 2012
Ryslingevej 1, 2.350.000, 04-08-2014, Alm. Salg, 23.979, 3, 8270, Villa, 98, 1953, -9 %
Bredkær Tværvej 27, 3.400.000, 03-08-2014, Alm. Salg, 17.000, 6, 8250, Villa, 200, 1967, -8 %
Vesborgvej 10, 3.825.000, 01-08-2014, Alm. Salg, 22.767, 6, 8240, Villa, 168, 1963, -1 %
Hvedebjergvej 15, 2.350.000, 30-07-2014, Alm. Salg, 16.785, 4, 8220, Villa, 140, 1968, -6 %
Jarlsmindevej 92, 2.600.000, 30-07-2014, Alm. Salg, 14.054, 5, 8260, Villa, 185, 1980, -7 %
Grønvangen 9, 2.500.000, 30-07-2014, Alm. Salg, 17.605, 5, 8260, Villa, 142, 1972, -4 %
Herredsvej 14, 3.300.000, 29-07-2014, Alm. Salg, 20.496, 5, 8210, Villa, 161, 1962, -3 %
Særeng 10, 1.540.000, 29-07-2014, Alm. Salg, 7.000, 7, 8200, Villa, 220, 1975
Timianvej 4, 1.995.000, 28-07-2014, Alm. Salg, 18.820, 3, 8240, Villa, 106, 1956, 0 %
Skovkanten 5, 2.800.000, 28-07-2014, Alm. Salg, 16.000, 4, 8260, Villa, 175, 1965, -3 %
Åbrovej 3, 1.045.896, 28-07-2014, Fam. Salg, 6.225, 5, 8250, Villa, 168, 1949
Åbyvej 40, 3.650.000, 25-07-2014, Alm. Salg, 27.651, 6, 8230, Villa, 132, 1908, -4 %
M.C.Holsts Vej 14A, 3.075.000, 24-07-2014, Alm. Salg, 19.711, 4, 8270, Villa, 156, 1962, -11 %
Harald Kiddes Vej 42, 3.650.000, 24-07-2014, Alm. Salg, 19.729, 6, 8230, Villa, 185, 1968, -4 %
Skovagervej 4, 2.825.000, 23-07-2014, Alm. Salg, 27.970, 6, 8240, Villa, 101, 1927, -6 %
Cort Adelers Gade 19, 4.400.000, 22-07-2014, Alm. Salg, 29.333, 5, 8200, Villa, 150, 1918, -3 %
Åkirkebyvej 12, 1.995.000, 22-07-2014, Alm. Salg, 40.714, 3, 8210, Villa, 49, 1947, 0 %
Rosendalvej 23, 3.000.000, 22-07-2014, Alm. Salg, 13.043, 7, 8260, Villa, 230, 1974, 0 %
Egernvej 6, 6.500.000, 22-07-2014, Alm. Salg, 51.587, 7, 8270, Villa, 126, 1954, -10 %
Hørhavevej 53, 4.410.000, 21-07-2014, Alm. Salg, 24.500, 5, 8270, Villa, 180, 1958, -8 %
Langdalsvej 47, 3.225.000, 18-07-2014, Alm. Salg, 13.841, 7, 8220, Villa, 233, 1976, -5 %
Balagervej 58, 3.100.000, 18-07-2014, Alm. Salg, 29.807, 3, 8260, Villa, 104, 1959, -3 %
Klokkerfaldet 22, 3.695.000, 18-07-2014, Alm. Salg, 25.839, 4, 8210, Villa, 143, 1967, 0 %
Herredsvej 24, 2.010.000, 18-07-2014, Alm. Salg, 23.928, 5, 8210, Villa, 84, 1926, 1 %
Fuglsøvej 16, 2.600.000, 18-07-2014, Alm. Salg, 17.333, 5, 8240, Villa, 150, 1958, 0 %
Christian Xs Vej 168, 2.300.000, 18-07-2014, Alm. Salg, 24.731, 4, 8270, Villa, 93, 1953, -3 %
Ålykkevej 37, 2.650.000, 17-07-2014, Alm. Salg, 18.928, 5, 8240, Villa, 140, 1976
Hellerupvej 10, 5.095.000, 17-07-2014, Alm. Salg, 47.175, 4, 8000, Villa, 108, 1934, 0 %
Duevej 18, 2.648.000, 17-07-2014, Alm. Salg, 22.827, 5, 8210, Villa, 116, 1934, 0 %
Bornholmsvej 11, 3.020.000, 17-07-2014, Alm. Salg, 26.034, 4, 8210, Villa, 116, 1948, -2 %
Michael Anchers Vej 15B, 2.350.000, 17-07-2014, Alm. Salg, 13.352, 5, 8270, Villa, 176, 2015
Klokkerbakken 40, 2.800.000, 16-07-2014, Alm. Salg, 16.969, 5, 8210, Villa, 165, 1968
Jyllands Alle 101, 3.375.000, 16-07-2014, Alm. Salg, 24.456, 6, 8270, Villa, 138, 1953, -4 %
Libravej 21, 4.737.500, 16-07-2014, Alm. Salg, 24.294, 6, 8270, Villa, 195, 1930, -5 %
Annekærvej 22, 1.600.000, 15-07-2014, Andet, 6.015, 8, 8250, Villa, 266, 1892, -57 %
Laskedalen 31, 3.300.000, 14-07-2014, Alm. Salg, 24.626, 5, 8220, Villa, 134, 2006
Silkeborgvej 205, 4.500.000, 14-07-2014, Alm. Salg, 17.857, 8, 8230, Villa, 252, 1914, -10 %
Haslehøjvej 5A, 5.700.000, 13-07-2014, Alm. Salg, 21.673, 10, 8210, Villa, 263, 1965, -12 %
Snebærvej 8, 3.550.000, 11-07-2014, Alm. Salg, 19.613, 7, 8270, Villa, 181, 1964, -4 %
Kornmodsbakken 50, 3.300.000, 10-07-2014, Alm. Salg, 14.163, 6, 8210, Villa, 233, 1978, -3 %
Bygvangen 9, 2.930.000, 10-07-2014, Alm. Salg, 25.701, 4, 8200, Villa, 114, 1950, -5 %
Bushøjvej 203, 1.850.000, 10-07-2014, Andet, 10.393, 5, 8270, Villa, 178, 1991
Klintevej 31A, 3.525.000, 10-07-2014, Alm. Salg, 22.169, 5, 8240, Villa, 159, 1927, -1 %
Bredkær Tværvej 18, 1.842.500, 10-07-2014, Andet, 11.166, 6, 8250, Villa, 165, 1965
Oehlenschlægersvej 13, 2.350.000, 09-07-2014, Alm. Salg, 30.128, 3, 8230, Villa, 78, 1935, -10 %
Pallisvej 59, 2.495.000, 08-07-2014, Alm. Salg, 17.326, 3, 8220, Villa, 144, 1965, -2 %
Tousvej 104, 615.000, 08-07-2014, Fam. Salg, 5.347, 6, 8230, Villa, 115, 1936
Skolevangs Alle 4D, 3.075.000, 08-07-2014, Alm. Salg, 25.625, 5, 8240, Villa, 120, 1954, -7 %
Rosendalvej 65, 2.728.000, 08-07-2014, Alm. Salg, 22.000, 5, 8260, Villa, 124, 1972, 0 %
Klokkervej 16, 3.600.000, 08-07-2014, Alm. Salg, 26.086, 6, 8210, Villa, 138, 1955, -3 %
Langvadsvej 11, 3.400.000, 08-07-2014, Alm. Salg, 20.359, 6, 8260, Villa, 167, 1930, -5 %
Porskær 3, 3.900.000, 08-07-2014, Alm. Salg, 22.674, 5, 8220, Villa, 172, 2008, -5 %
Stadion Alle 52, 6.000.000, 07-07-2014, Alm. Salg, 29.702, 7, 8000, Villa, 202, 1937, -9 %
Voldbjergvej 10, 1.600.000, 07-07-2014, Alm. Salg, 16.326, 3, 8240, Villa, 98, 1933, 0 %
Helenelyst 73, 3.250.000, 07-07-2014, Alm. Salg, 21.959, 5, 8220, Villa, 148, 2006, -1 %
Rosenvangs Alle 183, 1.890.008, 07-07-2014, Andet, 12.038, 5, 8270, Villa, 157, 1938
Brorsonsvej 7A, 1.278.764, 04-07-2014, Fam. Salg, 9.005, 6, 8260, Villa, 142, 1939
Tingvej 17, 3.850.000, 04-07-2014, Alm. Salg, 32.083, 5, 8210, Villa, 120, 1951, -1 %
Grumstolsvej 2, 1.917.500, 04-07-2014, Andet, 13.894, 4, 8270, Villa, 138, 1934
Oddervej 168, 2.500.000, 04-07-2014, Fam. Salg, 10.593, 7, 8270, Villa, 236, 1940
Stenkildevej 35, 2.125.000, 04-07-2014, Alm. Salg, 19.675, 5, 8260, Villa, 108, 1961, -1 %
Storskovvej 80, 1.500.000, 03-07-2014, Alm. Salg, 9.554, 5, 8260, Villa, 157, 1939, -17 %
Michael Anchers Vej 17, 4.695.000, 03-07-2014, Alm. Salg, 36.968, 5, 8270, Villa, 127, 1925, 0 %
Rosenholms Alle 11, 1.825.000, 03-07-2014, Alm. Salg, 15.869, 4, 8260, Villa, 115, 1952, -3 %
Neptunvej 25, 4.400.000, 02-07-2014, Alm. Salg, 25.882, 6, 8270, Villa, 170, 1954, -2 %
Vangen 17, 3.275.000, 02-07-2014, Alm. Salg, 20.341, 5, 8270, Villa, 161, 1960, -6 %
Sophus Bauditz Vej 53, 3.978.000, 02-07-2014, Alm. Salg, 23.263, 6, 8230, Villa, 171, 1967, -1 %
Bakkegårdsvej 29B, 2.075.000, 01-07-2014, Auktion, 16.468, 4, 8240, Villa, 126, 1959
Rosenvangs Alle 35, 3.562.500, 01-07-2014, Alm. Salg, 22.265, 5, 8260, Villa, 160, 1938, -6 %
Enghavevej 37, 2.025.000, 01-07-2014, Alm. Salg, 15.576, 4, 8260, Villa, 130, 1936, -8 %
Skæring Sandager 57, 4.020.000, 30-06-2014, Alm. Salg, 21.847, 6, 8250, Villa, 184, 1988, -6 %
Stavtrupvej 60, 2.825.000, 30-06-2014, Alm. Salg, 18.464, 6, 8260, Villa, 153, 1995, -4 %
Uppsalagade 1, 2.100.000, 30-06-2014, Alm. Salg, 22.826, 4, 8200, Villa, 92, 1947, -19 %
Baldrianvej 71, 3.025.000, 30-06-2014, Alm. Salg, 19.901, 5, 8240, Villa, 152, 1983, -2 %
Holme Parkvej 268, 3.600.000, 30-06-2014, Fam. Salg, 18.848, 5, 8270, Villa, 191, 2003
Bygvangen 2, 4.400.000, 29-06-2014, Alm. Salg, 24.858, 7, 8200, Villa, 177, 1953
Skæring Hedevej 232, 4.675.000, 29-06-2014, Alm. Salg, 24.097, 6, 8250, Villa, 194, 1976, 0 %
Porsgrunnsvej 59, 1.500.000, 29-06-2014, Alm. Salg, 14.851, 3, 8200, Villa, 101, 1947, -5 %
Frodesvej 29, 3.800.000, 27-06-2014, Alm. Salg, 26.760, 7, 8230, Villa, 142, 1904
Bushøjvej 266, 2.395.000, 27-06-2014, Alm. Salg, 13.843, 5, 8270, Villa, 173, 2015, -4 %
Solagervej 9, 2.225.000, 27-06-2014, Andet, 14.932, 6, 8250, Villa, 149, 1966
Holmetoften 10, 3.375.000, 26-06-2014, Alm. Salg, 18.960, 7, 8270, Villa, 178, 1974, -3 %
Elmehøjvej 37, 4.850.000, 26-06-2014, Alm. Salg, 32.770, 5, 8270, Villa, 148, 2004, -3 %
H.P.Jensens Vej 11, 3.670.000, 25-06-2014, Alm. Salg, 34.622, 4, 8270, Villa, 106, 1966, -3 %
Hougårdsvej 22, 3.300.000, 25-06-2014, Alm. Salg, 25.781, 4, 8220, Villa, 128, 1952, -6 %
Casper Møllers Vej 16, 3.100.000, 25-06-2014, Fam. Salg, 20.000, 4, 8240, Villa, 155, 1990
Skæring Havvej 15, 4.095.000, 25-06-2014, Alm. Salg, 23.670, 4, 8250, Villa, 173, 1983, -4 %
Hamphøjvej 17, 3.300.000, 25-06-2014, Alm. Salg, 23.239, 5, 8270, Villa, 142, 1956, -6 %
Holmevej 172, 2.200.000, 25-06-2014, Alm. Salg, 19.298, 4, 8270, Villa, 114, 1961, -12 %
Sejrs Alle 22, 8.725.000, 25-06-2014, Alm. Salg, 41.155, 5, 8240, Villa, 212, 1973, -5 %
Laskedalen 86, 1.280.161, 25-06-2014, Alm. Salg, 7.399, 5, 8220, Villa, 173, 2015
Laskedalen 105, 1.247.836, 25-06-2014, Alm. Salg, 7.948, 5, 8220, Villa, 157, 2015
Kirketoften 6A, 2.170.000, 25-06-2014, Alm. Salg, 22.371, 4, 8260, Villa, 97, 1902
Laskedalen 92, 1.441.600, 25-06-2014, Alm. Salg, 7.964, 4, 8220, Villa, 181, 2015
Laskedalen 76, 1.161.368, 25-06-2014, Alm. Salg, 5.255, 5, 8220, Villa, 221, 2015
Latyrusvej 6, 1.650.000, 24-06-2014, Alm. Salg, 13.750, 5, 8240, Villa, 120, 1955, -8 %
Balagervej 45, 3.300.000, 24-06-2014, Alm. Salg, 18.539, 5, 8260, Villa, 178, 1972
Blomstervangen 22, 4.550.000, 24-06-2014, Alm. Salg, 26.453, 7, 8250, Villa, 172, 1980, -5 %
Langtoftevej 2, 1.998.000, 24-06-2014, Alm. Salg, 18.163, 5, 8260, Villa, 110, 1967, 0 %
Kvædevej 10, 2.700.000, 24-06-2014, Alm. Salg, 25.961, 4, 8270, Villa, 104, 1962, -3 %
Grumstolsvej 49, 2.970.000, 24-06-2014, Alm. Salg, 22.671, 4, 8270, Villa, 131, 1969, -10 %
Blåmejsevej 10, 3.350.000, 24-06-2014, Alm. Salg, 22.789, 6, 8210, Villa, 147, 1927
Grenåvej 129, 3.750.000, 24-06-2014, Alm. Salg, 20.270, 6, 8240, Villa, 185, 1929, -6 %
Johan Langes Vej 6, 3.850.000, 23-06-2014, Alm. Salg, 21.751, 8, 8000, Villa, 177, 1941, -4 %
Jupitervej 5, 2.350.000, 23-06-2014, Fam. Salg, 17.938, 5, 8270, Villa, 131, 1954
Kasted Byvej 20, 1.150.000, 23-06-2014, Alm. Salg, 8.333, 5, 8200, Villa, 138, 1898, -18 %
Lindevej 30, 5.200.000, 23-06-2014, Alm. Salg, 34.899, 7, 8260, Villa, 149, 1909, -2 %
Ormslevvej 114, 3.250.000, 23-06-2014, Alm. Salg, 13.319, 5, 8260, Villa, 244, 1947, -7 %
Kærvej 5A, 3.645.000, 20-06-2014, Alm. Salg, 25.489, 3, 8230, Villa, 143, 1850, -1 %
Gammel Holmevej 26, 2.995.000, 20-06-2014, Alm. Salg, 28.798, 3, 8270, Villa, 104, 1952, 0 %
Pallisvej 22, 2.500.000, 20-06-2014, Alm. Salg, 14.450, 6, 8220, Villa, 173, 1966, -4 %
Jeppe Aakjærs Vej 48, 2.360.000, 19-06-2014, Alm. Salg, 29.135, 2, 8230, Villa, 81, 1936, -9 %
Østrevej 3, 3.150.000, 19-06-2014, Alm. Salg, 30.882, 2, 8210, Villa, 102, 1927, -2 %
Stenbækvej 11, 2.068.000, 19-06-2014, Alm. Salg, 20.077, 4, 8220, Villa, 103, 1955, -1 %
Thornbæks Alle 1A, 1.700.000, 19-06-2014, Fam. Salg, 19.540, 4, 8270, Villa, 87, 1959
Elevvej 6, 1.850.000, 19-06-2014, Alm. Salg, 14.122, 4, 8200, Villa, 131, 1850
Fritz Sybergs Vej 24, 3.495.000, 18-06-2014, Alm. Salg, 27.738, 5, 8270, Villa, 126, 1950, 0 %
Bredkær Tværvej 21, 2.400.000, 18-06-2014, Alm. Salg, 17.266, 5, 8250, Villa, 139, 1969, -4 %
Byløkken 41, 2.700.000, 18-06-2014, Alm. Salg, 20.610, 3, 8240, Villa, 131, 1967, -4 %
Holmstruphøjvej 113, 2.898.000, 18-06-2014, Alm. Salg, 21.466, 5, 8210, Villa, 135, 1981, 0 %
Jacob Adelborgs Alle 19, 1.883.333, 17-06-2014, Andet, 10.180, 5, 8240, Villa, 185, 1991
Langdalsvej 17, 3.850.000, 17-06-2014, Alm. Salg, 20.588, 6, 8220, Villa, 187, 1912, -3 %
Holmstruphøjvej 83, 1.800.000, 17-06-2014, Auktion, 15.789, 5, 8210, Villa, 114, 1981
Hoffmannsvej 1, 3.175.000, 16-06-2014, Alm. Salg, 19.478, 6, 8220, Villa, 163, 1911, -12 %
Haldsøvej 18, 2.100.000, 16-06-2014, Alm. Salg, 15.555, 6, 8240, Villa, 135, 1998
Bækkelundsvej 25A, 4.130.000, 15-06-2014, Alm. Salg, 28.287, 5, 8240, Villa, 146, 1962, -8 %
Hovedgaden 24, 1.498.000, 13-06-2014, Alm. Salg, 11.096, 4, 8220, Villa, 135, 1902, 0 %
Bakholmsvej 3, 3.450.000, 13-06-2014, Alm. Salg, 20.535, 7, 8260, Villa, 168, 1956, -7 %
Holmstruphøjvej 97, 2.250.000, 13-06-2014, Alm. Salg, 18.907, 4, 8210, Villa, 119, 1981, -2 %
