Vejnavn, Købesum, Dato, Type, kr/m², Rum, Postnr, Boligtype, m², Bygget, %
Bushøjvænget 13, 1.600.000, 26-02-2015, Fam. Salg, 17.021, 3, 8270, Villa, 94, 1958
Annekærvej 21, 3.075.000, 26-02-2015, Alm. Salg, 21.654, 4, 8250, Villa, 142, 1912, -5 %
Nordre Strandvej 51, 5.100.000, 26-02-2015, Alm. Salg, 34.000, 6, 8240, Villa, 150, 1936, -7 %
Egernvej 14, 5.750.000, 26-02-2015, Alm. Salg, 28.894, 5, 8270, Villa, 199, 1957, -3 %
Jelshøjvej 41, 1.442.644, 26-02-2015, Andet, 4.683, 10, 8270, Villa, 308, 1876
Arnakvej 72, 4.800.000, 25-02-2015, Alm. Salg, 30.188, 7, 8270, Villa, 159, 1969, -8 %
Teglbakken 30, 5.800.000, 25-02-2015, Fam. Salg, 23.293, 6, 8270, Villa, 249, 1972
Egå Strandvej 18, 2.250.000, 25-02-2015, Alm. Salg, 15.306, 6, 8250, Villa, 147, 1972
Lykkesholms Alle 92, 2.945.000, 24-02-2015, Alm. Salg, 26.531, 5, 8260, Villa, 111, 1953, -5 %
Rypevej 5, 5.000.000, 23-02-2015, Alm. Salg, 32.258, 6, 8270, Villa, 155, 1961
Hyldevej 18, 14.800.000, 22-02-2015, Alm. Salg, 60.655, 7, 8240, Villa, 244, 1916, -15 %
Almindingen 15, 2.200.000, 22-02-2015, Alm. Salg, 18.487, 4, 8210, Villa, 119, 1947, -2 %
Ellensvej 5, 2.250.000, 20-02-2015, Alm. Salg, 15.100, 4, 8220, Villa, 149, 1948, -2 %
Ydunsvej 27, 1.250.000, 19-02-2015, Alm. Salg, 9.328, 6, 8230, Villa, 134, 1968
Minthøjvej 5, 2.650.000, 19-02-2015, Alm. Salg, 24.311, 2, 8210, Villa, 109, 1954, -5 %
Skæringvangen 32, 4.150.000, 19-02-2015, Alm. Salg, 25.460, 6, 8250, Villa, 163, 2003, -3 %
Bredkær Grønnevej 1, 2.625.000, 18-02-2015, Alm. Salg, 22.629, 5, 8250, Villa, 116, 1966, -3 %
Bernstorffsvej 2A, 944.000, 18-02-2015, Alm. Salg, 9.632, 3, 8260, Villa, 98, 1965
Solbrinken 22, 3.956.000, 17-02-2015, Alm. Salg, 29.303, 5, 8270, Villa, 135, 1953, -5 %
Agf Vej 2, 2.570.000, 17-02-2015, Alm. Salg, 17.482, 5, 8260, Villa, 147, 1971, -8 %
Helenelyst 111, 3.650.000, 16-02-2015, Alm. Salg, 20.505, 6, 8220, Villa, 178, 2006, -1 %
Espedalen 53, 2.450.000, 16-02-2015, Alm. Salg, 16.225, 5, 8240, Villa, 151, 1966, -6 %
Vestergårdsvangen 131, 4.100.000, 16-02-2015, Alm. Salg, 24.117, 5, 8260, Villa, 170, 2009, -2 %
Silkeborgvej 582, 2.500.000, 14-02-2015, Fam. Salg, 22.935, 5, 8220, Villa, 109, 1956
Fuglsøvej 44, 3.075.000, 13-02-2015, Alm. Salg, 17.083, 6, 8240, Villa, 180, 1958, -4 %
Risdalsvej 10, 2.865.000, 12-02-2015, Alm. Salg, 29.234, 3, 8260, Villa, 98, 1934, -4 %
Olaf Rudes Vej 2A, 3.545.000, 12-02-2015, Alm. Salg, 32.522, 3, 8270, Villa, 109, 1960, 0 %
Lyngbygårdsvej 46B, 2.600.000, 12-02-2015, Alm. Salg, 19.402, 4, 8220, Villa, 134, 1990, -13 %
Vesborgvej 2, 2.098.000, 11-02-2015, Alm. Salg, 20.173, 4, 8240, Villa, 104, 1962, 0 %
Spicavej 31, 3.800.000, 11-02-2015, Alm. Salg, 20.879, 5, 8270, Villa, 182, 1963
Højrisvej 18, 5.050.000, 11-02-2015, Alm. Salg, 36.861, 5, 8240, Villa, 137, 1958, -1 %
Tokkerbakken 10, 3.725.000, 10-02-2015, Alm. Salg, 25.868, 4, 8240, Villa, 144, 1970, -2 %
Lykkenshøj 47, 2.775.000, 10-02-2015, Alm. Salg, 18.500, 5, 8220, Villa, 150, 1974, -6 %
Hørmarks Alle 16, 3.300.000, 10-02-2015, Alm. Salg, 25.581, 5, 8240, Villa, 129, 1964, -6 %
Hvedebjergvej 8, 802.500, 10-02-2015, Andet, 6.687, 5, 8220, Villa, 120, 1966, -65 %
Firkløvervej 8, 3.675.000, 10-02-2015, Alm. Salg, 35.336, 3, 8240, Villa, 104, 1951, -1 %
Rosenvangs Alle 28, 3.850.000, 09-02-2015, Alm. Salg, 26.736, 5, 8260, Villa, 144, 1920, -8 %
Klokkerfaldet 82, 3.498.000, 09-02-2015, Alm. Salg, 26.300, 5, 8210, Villa, 133, 1967, 0 %
Aldersrovej 23A, 3.750.000, 09-02-2015, Alm. Salg, 34.090, 7, 8200, Villa, 110, 1953, -5 %
Nordvestpassagen 80, 3.695.000, 08-02-2015, Alm. Salg, 29.798, 5, 8200, Villa, 124, 1953, 0 %
Silkeborgvej 299, 3.850.000, 08-02-2015, Alm. Salg, 25.838, 6, 8230, Villa, 149, 1936, -4 %
Munkevænget 1, 2.200.000, 06-02-2015, Alm. Salg, 20.000, 4, 8250, Villa, 110, 1965, -4 %
Prins Knuds Vej 37B, 5.550.000, 06-02-2015, Alm. Salg, 47.435, 4, 8240, Villa, 117, 1982, -2 %
Laurvigsgade 13, 3.695.000, 06-02-2015, Alm. Salg, 23.535, 7, 8200, Villa, 157, 1937, -3 %
Vestre Skovvej 14, 6.150.000, 05-02-2015, Alm. Salg, 28.738, 8, 8240, Villa, 214, 1937
Helenelyst 71, 3.595.000, 05-02-2015, Alm. Salg, 21.398, 5, 8220, Villa, 168, 2006, 0 %
Skæring Hedevej 98, 2.625.000, 04-02-2015, Alm. Salg, 19.021, 5, 8250, Villa, 138, 1975, -9 %
